S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Total Electors,Total Votes,Poll%
14,GEN,Villivakkam,A. Vetriazhagan,DMK,76127,52.83,J. C. D. Prabhakar,ADMK,38890,26.99,37237,413109,271724,65.80%
15,GEN,Thiru-Vi-Ka-Nagar (SC),P. Sivakumar,DMK,81727,61.13,P. L. Kalyani,ADMK,26714,19.98,55013,361656,237941,65.80%
16,GEN,Egmore (SC),I. Paranthamen,DMK,68832,57.71,B. John Pandian,ADMK,30064,25.21,38768,361656,237941,65.80%
17,GEN,Royapuram,Idream R. Murthy,DMK,64424,53.16,D. Jayakumar,ADMK,36645,30.24,27779,422016,300534,71.20%
18,GEN,Harbour,P. K. Sekar Babu,DMK,59317,58.35,Vinoj P. Selvam,BJP,32043,31.52,27274,422016,300534,71.20%
19,GEN,Chepauk-Thiruvallikeni,Udhayanidhi Stalin,DMK,93285,67.89,A. V. A. Kassali,PMK,23930,17.42,69355,287777,198885,69.10%
20,GEN,Thousand Lights,Ezhilan Naganathan,DMK,49080,53.88,Khushbu,BJP,25079,27.53,24001,287777,198885,69.10%
21,GEN,Anna Nagar,M. K. Mohan,DMK,80054,48.49,S. Gokula Indira,ADMK,52609,31.87,27445,248518,185323,74.60%
22,GEN,Virugampakkam,A. M. V. Prabhakara Raja,DMK,74351,43.97,Virugai V. N. Ravi,ADMK,55984,33.11,18367,248518,185323,74.60%
23,GEN,Saidapet,Ma.Subramanian,DMK,80194,50.02,S. Duraisamy,ADMK,50786,31.68,29408,293597,198872,67.70%
24,GEN,Thiyagaraya Nagar,J. Karunanithi,DMK,56035,40.57,B. Sathyanarayanan,ADMK,55898,40.47,137,293597,198872,67.70%
25,GEN,Mylapore,Dha. Velu,DMK,68392,44.58,R. Nataraj,ADMK,55759,36.34,12633,268296,171859,64.10%
26,GEN,Velachery,Aassan Maulaana,INC,68493,38.76,M. K. Ashok,ADMK,64141,36.3,4352,268296,171859,64.10%
27,GEN,Shozhinganallur,S. Aravind Ramesh,DMK,171558,44.18,K. P. Kandan,ADMK,136153,35.06,35405,248131,142648,57.50%
28,GEN,Alandur,T. M. Anbarasan,DMK,116785,49.12,B. Valarmathi,ADMK,76214,32.06,40571,248131,142648,57.50%
29,GEN,Sriperumbudur (SC),K. Selvaperunthagai,INC,115353,43.65,K. Palani,ADMK,104474,39.53,10879,210344,132650,63.10%
30,SC,Pallavaram,I. Karunanithi,DMK,126427,47.49,S. Rajendran,ADMK,88646,33.3,37781,210344,132650,63.10%
31,SC,Tambaram,S. R. Raja,DMK,116840,46.93,T. K. M. Chinnayya,ADMK,80016,32.14,36824,181071,118095,65.20%
32,SC,Chengalpattu,M. Varalakshmi,DMK,130573,47.64,M. Gajendran,ADMK,103908,37.91,26665,181071,118095,65.20%
33,SC,Thiruporur,S. S. Balaji,VCK,93954,41.44,Thirukachur Arumugam,PMK,92007,40.58,1947,178693,120290,67.30%
34,GEN,Cheyyur (SC),M. Babu,VCK,82750,46.2,S. Kanitha Sampath,ADMK,78708,43.94,4042,178693,120290,67.30%
35,GEN,Maduranthakam (SC),Maragatham Kumaravel,ADMK,86646,46.62,Mallai C. E. Sathya,DMK,83076,44.7,3570,168538,100738,59.80%
36,GEN,Uthiramerur,K. Sundar,DMK,93427,44.38,V.Somasundaram,ADMK,91805,43.61,1622,168538,100738,59.80%
37,GEN,Kancheepuram,C. V. M. P. Ezhilarasan,DMK,103235,44.77,P. Mageshkumar,PMK,91236,39.71,11999,226272,135344,59.80%
38,GEN,Arakkonam (SC),S. Ravi,ADMK,85399,49.82,J. Gowthama Sannah,VCK,58230,33.97,27169,226272,135344,59.80%
39,GEN,Sholingur,A. N. Munirathinam,INC,110228,49.18,A. M. Krishnan,PMK,83530,37.27,24878,233867,134555,57.50%
41,GEN,Ranipet,R. Gandhi,DMK,103291,49.79,S. M. Sukumar,ADMK,86793,41.84,16498,233867,134555,57.50%
42,GEN,Arcot,J. L. Eswarappan,DMK,103885,49.52,K. L. Elavazhagan,PMK,83927,40.01,19958,274067,163551,59.70%
40,GEN,Katpadi,Durai Murugan,DMK,85140,45.71,V. Ramu,ADMK,84394,45.31,746,274067,163551,59.70%
43,GEN,Vellore,P. Karthikeyan,DMK,84299,46.86,S. R. K. Appu,ADMK,75118,41.76,9181,273740,167524,61.20%
44,GEN,Anaikattu,A. P. Nandakumar,DMK,95159,48.11,D. Velazhagan,ADMK,88799,44.89,6360,273740,167524,61.20%
45,GEN,Kilvaithinankuppam (SC),M. Jaganmoorthy,ADMK,84579,48.57,K. Seetharaman,DMK,73997,42.5,10582,269884,159169,59.00%
46,GEN,Gudiyattam (SC),V. Amulu,DMK,100412,47.45,G. Paridha,ADMK,93511,44.19,6901,269884,159169,59.00%
47,GEN,Vaniyambadi,G Sendhil Kumar,ADMK,88018,46.33,N. Mohammad Nayeem,IUML,83114,43.74,4904,231382,136497,59.00%
48,GEN,Ambur,A. C. Vilwanathan,DMK,90476,50.86,K. Nazar Mohammed,ADMK,70244,39.49,20232,231382,136497,59.00%
49,GEN,Jolarpet,K. Devaraji,DMK,89490,45.57,K. C. Veeramani,ADMK,88399,45.02,1091,258722,152143,58.80%
50,GEN,Tirupattur (Vellore),A. Nallathambi,DMK,96522,51.91,T. K. Raja,PMK,68282,36.72,28240,258722,152143,58.80%
51,GEN,Uthangarai (SC),T. M. Tamilselvam,ADMK,99675,52.96,J. S. Arumugam,INC,71288,37.87,28387,300466,174972,58.20%
52,GEN,Bargur,D. Mathiazhagan,DMK,97256,49.17,A. Krishnan,ADMK,84642,42.8,12614,300466,174972,58.20%
53,GEN,Krishnagiri,K. Ashok Kumar,ADMK,96050,45.38,T. Senguttuvan,DMK,95256,45.01,794,638950,385325,60.30%
54,GEN,Veppanahalli,K. P. Munusamy,ADMK,94104,45.87,P. Murugan,DMK,91050,44.38,3054,638950,385325,60.30%
55,GEN,Hosur,Y. Prakaash,DMK,118231,47.65,S. Jyothi Balakrishna Reddy,ADMK,105864,42.67,12367,363029,235863,65.00%
