S.no,Type,Constituency,Winner,Winner Party,Winner Vote,Winner %,Runner ,Runner Party,Runner Votes,Runner %,Margi,Total Electors,Total Votes,Poll%
37,GEN,Gudiyatham,R. Govindasamy,INC,32077,39.15,A. K. Sundararajan,Independent,25630,31.28,6447,115465,88147,76.30%
38,SC,Pernambut,K. Thamizharasan,AIADMK,47813,56.17,V. Govindan,DMK,36420,42.78,11393,119028,88722,74.50%
39,GEN,Vaniyambadi,H. Abdul Majeed,INC,39141,45.36,A. P. Abdul Majid,DMK,37856,43.87,1285,123922,89820,72.50%
40,GEN,Natrampalli,T. Anbazhagan,AIADMK,56503,58.55,N. K. Raja,DMK,27293,28.28,29210,137300,103414,75.30%
41,GEN,Tirupattur (Vellore),Shanmugam Y.,INC,46884,49.02,B. Sundaram,DMK,28781,30.09,18103,134589,99758,74.10%
42,SC,Chengam,T. Swamikannu,AIADMK,45770,61.42,P. Anbalagan,JP,21039,28.23,24731,111906,80841,72.20%
43,GEN,Thandarambattu,E. Vachiravelu,AIADMK,53422,58.96,D. Venugopal,DMK,34649,38.24,18773,120070,96037,80.00%
44,GEN,Tiruvannamalai,A. S. Ravindran,INC,49782,51.31,S. Murugaiyan,DMK,44409,45.77,5373,129693,101379,78.20%
45,GEN,Kalasapakkam,Pandurangan. M.,AIADMK,54969,58.78,P. S. Thiruvengadam,DMK,35303,37.75,19666,123335,99451,80.60%
46,GEN,Polur,Rajababu. J.,INC,52437,62.4,Subramantan. T. K.,DMK,30319,36.08,22118,116495,87395,75.00%
47,GEN,Anaikattu,V. R. Krishnasamy,AIADMK,45312,58.42,Rajagopal. P. N.,Independent,26692,34.42,18620,118953,82294,69.20%
48,GEN,Vellore,Devaraj. V. M.,DMK,54453,54.01,A. K. Ranganathan,AIADMK,44430,44.07,10023,141315,103742,73.40%
49,GEN,Arani,M. Chinnakulandai,AIADMK,54653,54.83,R. Sivanandam,DMK,43620,43.76,11033,126766,103158,81.40%
50,GEN,Cheyyar,K. Murugan,AIADMK,53945,58.46,Babu Janarthanam,DMK,37405,40.53,16540,121783,97497,80.10%
51,SC,Vandavasi,A. Arumugham,INC,48712,53.29,V. Rajagopal,DMK,38326,41.93,10386,130211,96493,74.10%
52,GEN,Peranamallur,R. Hari Kumar,AIADMK,49591,54.39,A. Rajendran,DMK,37599,41.24,11992,127862,97171,76.00%
53,GEN,Melmalayanur,P. U. Shanmugam,AIADMK,61289,67.63,P. R. Aranganathan,DMK,27343,30.17,33946,126800,96133,75.80%
54,GEN,Gingee,Muruganandam. T. N.,INC,56156,60.61,Ramachandran. N.,DMK,34054,36.76,22102,132058,96412,73.00%
55,GEN,Tindivanam,K. M. Thangamani,INC,45404,58.67,Subramanya Kounder,JP,26088,33.71,19316,113711,81363,71.60%
56,SC,Vanur,M. N. Ramajayam,AIADMK,58196,64.54,A. Poopalan,DMK,31980,35.46,26216,130927,96319,73.60%
57,SC,Kandamangalam,V. Subramanian,AIADMK,53211,58.01,Alaguvelu S.,DMK,38514,41.99,14697,129419,97226,75.10%
58,GEN,Villupuram,Rajarathinam Mani M.,AIADMK,50156,52.71,Palaniappan K. P.,DMK,36302,38.15,13854,131319,101005,76.90%
59,GEN,Mugaiyur,Chandrasekar. M.,AIADMK,45863,56.87,Sampath. A. G.,DMK,31128,38.6,14735,119737,88007,73.50%
60,GEN,Thirunavalur,Menoharan T. N. G. A.,AIADMK,40539,49.79,Balasubramanian A. V.,DMK,32566,40,7973,112818,87352,77.40%
61,SC,Ulundurpet,K. Murugesan Anandan,AIADMK,56200,63.18,K. Varaharajulu,DMK,29318,32.96,26882,134077,96000,71.60%
62,GEN,Nellikuppam,Anbarasan Alias Ramalingam,AIADMK,48018,56.71,Govindarajan,CPI(M),26641,31.46,21377,117487,90806,77.30%
63,GEN,Cuddalore,V. G. Cheelappa,INC,53759,58.02,V. Krishnamurthy,DMK,37063,40,16696,129630,95773,73.90%
64,GEN,Panruti,S. Ramachandaran,AIADMK,51900,53.97,K. Nandagopala Krishnan,DMK,44263,46.03,7637,117364,100306,85.50%
65,GEN,Kurinjipadi,A. Thangarasu,AIADMK,45400,49.9,C. Kuppusami,DMK,34434,37.85,10966,124612,96249,77.20%
66,GEN,Bhuvanagiri,V. V. Swaminathan,AIADMK,51922,56.2,Durai Krishnamoorthy,DMK,39621,42.89,12301,122059,97234,79.70%
67,SC,Kattumannarkoil,S. Jayachandran,INC,42928,50.67,K. P. Thangaswamy,DMK,41796,49.33,1132,109718,87442,79.70%
68,GEN,Chidambaram,K. R. Ganapathi,AIADMK,47067,54.55,K. S. Subramanian,DMK,37824,43.84,9243,114114,90376,79.20%
69,GEN,Vriddhachalam,R. Thiyagarajan,INC,53731,57.33,D. Rasavelu,DMK,35609,37.99,18122,126745,98074,77.40%
70,SC,Mangalore,S. Thangaraju,AIADMK,55408,61.4,N. Muthuvel,DMK,32273,35.76,23135,136839,96642,70.60%
71,GEN,Rishivandiyam,S. Sivaraj,INC,43439,51.95,M. Natesha Udayar,DMK,38318,45.82,5121,112187,87792,78.30%
72,GEN,Chinnasalem,S. Sivaraman,Independent,53630,63.65,Periyasamy D.,DMK,30633,36.35,22997,117749,88350,75.00%
73,GEN,Sankarapuram,S. Kalitheerthan,AIADMK,53162,59.49,K. Venkatapathy,DMK,29131,32.6,24031,122305,95330,77.90%
74,GEN,Hosur,T. Venkata Reddy,INC,35293,48.37,E. Venkatasamy,JP,15096,20.69,20197,120813,80140,66.30%
75,GEN,Thalli,K. V. Venugopal,INC,36441,49.05,D. C. Vijayendraiah,JP,34017,45.79,2424,117654,79389,67.50%
76,GEN,Kaveripattinam,K. Samarasam,AKD,47212,57.18,V. C. Govindasamy Gounder,DMK,31533,38.19,15679,121109,89456,73.90%
77,GEN,Krishnagiri,Chinnaraju K. R.,AIADMK,40585,54.83,Kanchana,DMK,29570,39.95,11015,116726,80179,68.70%
78,GEN,Bargur,T. M. Venkatachalam,AIADMK,57388,69.71,Veeramani P. V.,DMK,24577,29.86,32811,122427,87134,71.20%
79,SC,Harur,R. Rajamanickam,AIADMK,60106,66.96,Annamalai M.,CPI(M),27799,30.97,32307,136214,93898,68.90%
80,GEN,Morappur,Theerthagiri Gounder T.,INC,39779,50.77,Samikannu V.,DMK,27453,35.04,12326,115821,84540,73.00%
81,GEN,Palacode,Theertharaman P.,INC,55459,65.93,Munusamigounder M. B.,DMK,26045,30.96,29414,125689,87802,69.90%
82,GEN,Dharmapuri,R. Chinnasamy,DMK,46383,54.21,Aranganathan S.,AIADMK,37929,44.33,8454,133042,91113,68.50%
83,GEN,Pennagaram,H. G. Arumugam,AIADMK,44616,54.98,Nanjappan N.,CPI,25518,31.45,19098,126479,86045,68.00%
84,GEN,Mettur,Machimuthu K. P.,AIADMK,46083,48.15,Gurusamy K.,Independent,28253,29.52,17830,138136,101231,73.30%
85,GEN,Taramangalam,S. Semmalai,AIADMK,63407,69.68,Arjunan K.,DMK,25429,27.95,37978,130679,95084,72.80%
86,GEN,Omalur,Anbalagan,INC,51703,66.04,Kuppusamy S.,CPI,22961,29.33,28742,124598,84742,68.00%
87,ST,Yercaud,Thirugnanam P. R.,INC,48787,74.4,Manickam. K,DMK,16785,25.6,32002,105516,70340,66.70%
88,GEN,Salem-I,G. Krishnaraj,AIADMK,54749,51.8,G. K. Subasu,DMK,48863,46.24,5886,141927,109014,76.80%
89,GEN,Salem-Ii,Arumugam,AIADMK,49339,53.79,Veerapandy S. Arumugam,DMK,41333,45.07,8006,132481,95672,72.20%
90,GEN,Veerapandi,P. Vijayalakshmi,AIADMK,61609,63.7,Subramaniams,DMK,33549,34.69,28060,141355,101985,72.10%
91,GEN,Panamarathupatty,Rajaram K.,AIADMK,48726,60.35,Sivalingam. S. R.,DMK,27810,34.45,20916,120913,86470,71.50%
92,GEN,Attur,C. Palanimuthu,INC,55927,66.53,A. M. Ramaswamy,DMK,24804,29.51,31123,119635,87751,73.30%
93,SC,Talavasal,T. Rajambal,INC,53104,64.73,R. Ravichandar,DMK,25291,30.83,27813,128351,86494,67.40%
