Sl No.,Constituency Name,Category,Winner ,Party, Winner Vote,Runner,Party,Runner Vote,Margin,Total Electors,Total Votes,Poll%
97,Aroor,GEN,K. R. Gowri,CPM,49648,P. J. Francis,INC,44033,5615,109071,98417,90.20%
98,Sherthalai,GEN,Vayalar Ravi,INC,43812,C. K. Chandrappan,CPI,41528,2284,100207,89939,89.80%
99,Mararikulam,GEN,T. J. Anjalose,CPM,60190,Prakasam R.,IND,48099,12091,128844,113262,87.90%
100,Alleppey,GEN,Rosamma Punnoose,CPI,36742,Kalarcode Narayanan,IND,23908,12834,100956,80572,79.80%
101,Ambalapuzha,GEN,V. Dinakaran,INC,41938,G. Sudhakaran,CPM,41814,124,102169,88522,86.60%
102,Kuttanad,GEN,K. C. Joseph,KEC,41096,M. M. Anthony,CPM,37833,3263,101835,85962,84.40%
103,Haripad,GEN,Ramesh Chennithala,INC,49420,A. V. Thamarakshan,IND,45603,3817,118745,99374,83.70%
104,Kayamkulam,GEN,M. R. Gopalakrishnan,CPM,43986,K. Gopinathan,INC,36306,7680,107957,86530,80.20%
105,Thiruvalla,GEN,Mathew T. Thomas,JNP,32941,P. C. Thomas,IND,31726,1215,92746,74621,80.50%
106,Kallooppara,GEN,C. A. Mathew,ICS(SCS),30223,T. S. John,KEC,28467,1756,91220,73050,80.10%
107,Aranmula,GEN,K. K. Sreenivasan,INC,33405,P. Sarasappan,CPM,28538,4867,93857,73283,78.10%
108,Chengannur,GEN,Mammen Iype,ICS(SCS),39836,R. Ramachandran Nair,IND,24133,15703,101116,80578,79.70%
109,Mavelikara,GEN,S. Govinda Kurup,CPM,41178,K. P. Ramachandran Nair,IND,32977,8201,111907,86771,77.50%
110,Pandalam,(SC),V. Kesevan,CPM,47620,Damodaran Kalasseri,INC,45512,2108,120459,96107,79.80%
111,Ranni,GEN,Eappen Varghese,KEC,33265,K. I. Idiculla Mappilla,CPM,32062,1203,102261,80386,78.60%
112,Pathanamthitta,GEN,K. K. Nair,IND,35249,Kottara Gopalakrishnan,ICS(SCS),22551,12698,104690,82996,79.30%
113,Konni,GEN,Chittoor Sasankan Nair,IND,40059,V. S. Chandrasekhran Pillai,CPM,37767,2292,103680,83636,80.70%
114,Pathanapuram,GEN,E. Chandrasekharan Nair,CPI,46611,A. George,IND,34008,12603,114086,92292,80.90%
115,Punalur,GEN,Chitharenjan,CPI,47745,Surendran Pillai,KEC,36669,11076,127486,97537,76.50%
116,Chadayamangalam,GEN,K. R. Chandramohanan,CPI,41524,R. Radhakrishna Pillai,IND,30255,11269,105365,78773,74.80%
117,Kottarakkara,GEN,P. Balakrishna Pillai,KEC,36813,E. Rajendran,CPI,34716,2097,102999,85778,83.30%
118,Neduvathur,(SC),B. Raghavan,CPM,47334,Kottakuzhy Sukumaran,KEC,32170,15164,106193,83960,79.10%
119,Adoor,GEN,R. Unnikrishna Pillai,CPM,37990,Thennala Balakrishna Pillai,INC,36764,1226,98505,79635,80.80%
120,Kunnathur,(SC),T. Nanu Master,RSP,52447,K. K. Balakrishnan,INC,41794,10653,120608,100811,83.60%
121,Karunagappally,GEN,P. S. Sreenivasan,CPI,48622,K. C. Rajan,INC,35927,12695,106485,90754,85.20%
122,Chavara,GEN,Baby John,RSP,47987,K. Suresh Babu,INC,38450,9537,108053,91399,84.60%
123,Kundara,GEN,J. Mercykutty Amma,CPM,42715,Thoppil Revi,INC,35751,6964,102531,85126,83.00%
124,Quilon,GEN,Babu Divakaran,RSP,42617,Kadavoor Sivadasan,IND,29895,12722,111343,86509,77.70%
125,Eravipuram,GEN,V. P. Ramakrishna Pillai,RSP,53318,A. Yoonus Kunju,MUL,46612,6706,134413,107620,80.10%
126,Chathanoor,GEN,P. Ravindran,CPI,46501,C. V. Padmarajan,INC,44045,2456,122914,96428,78.50%
127,Varkala,GEN,Varkala Radhakrishnan,CPM,40381,N. Sreenivasan,IND,25921,14460,111808,75606,67.60%
128,Attingal,GEN,Ananthalavattom Anandan,CPM,42413,Kaviyad Divakara Panicker,INC,33528,8885,111784,80973,72.40%
129,Kilimanoor,(SC),Bhargavi Thankappan,CPI,46440,K. P. Madhavan,INC,38186,8254,127931,93336,73.00%
130,Vamanapuram,GEN,Koliyakode N. Krishnan Nair,CPM,52410,N. Peethambara Kurup,INC,42294,10116,120576,96885,80.40%
