Sl No.,Constituency Name,Type,Winner ,Party,Winner Vote,Runner ,Party.1,Runner Vote,Margin,Total electors,Total Votes,Poll%
18,Nadapuram,GEN,Satyyan Mokeri,CPI,60053,P. Shaduli,MUL,52427,7626,148954,118979,79.90%
19,Meppayur,GEN,A. Kanaran,CPM,58362,Kadameri Balakrishnan,INC,49038,9324,146114,117174,80.20%
20,Quilandy,GEN,M.T. Padma,INC[19],56642,C. Kunhamed,CPI,54139,2503,156664,121284,77.40%
21,Perambra,GEN,N.K. Radha,CPM,58978,K.A. Devassia,KEC,54562,4416,146728,121547,82.80%
22,Balusseri,GEN,A.C. Shanmukhadas,ICS(SCS),52470,P. Shankaran,INC,42758,9712,134950,107331,79.50%
23,Koduvally,GEN,P.V. Mohammed,MUL,51793,C. Mohasin,JD,51395,398,146720,114516,78.10%
24,Calicut- I,GEN,A. Sujanapal,INC,53079,M. Dasan,CPM,49319,3760,153474,110306,71.90%
25,Calicut- II,GEN,M.K. Muneer,MUL,52779,C.P. Kunhu,CPM,48896,3883,151164,108813,72.00%
26,Beypore,GEN,T.K. Hamza,CPM[20],66683,K. Madhavan Kutty,IND,60413,6270,169585,129766,76.50%
27,Kunnamangalam,(SC),C.P. Balan Vudiar,CPM,47946,A. Balaram,INC,46788,1158,133853,105210,78.60%
28,Thiruvambady,GEN,A.V. Abdurahimanhat,MUL,50767,P. Cyriac John,ICS(SCS),44665,6102,137586,102799,74.70%
29,Kalpetta,GEN,K.K. Ramachandran Master,INC,46488,K.K. Hemza,JD,42696,3792,135733,97584,71.90%
30,Sultan'S Battery,GEN,K.C. Rosakutty,INC,53050,Varghese Vaidyar,CPM,50544,2506,154211,113855,73.80%
31,Wandoor,(SC),Pandalam Sudhakaran,INC,53104,Kunnath Velayudhan,CPM,45509,7595,152411,105834,69.40%
32,Nilambur,GEN,Aryadan Muhammed,INC,60558,K. Abdurahiman Master,IND,52874,7684,163404,122254,74.80%
33,Manjeri,GEN,Ishaque Kurikkal,MUL,57717,K.P. Mohammed,JD,35286,22431,143924,101307,70.40%
34,Malappuram,GEN,Yoonus Kunju,MUL,49713,Sebastian J. Kaloor,ICS(SCS),22604,27109,145782,80605,55.30%
35,Kondotty,GEN,K. Abu,MUL[21],54042,Madathil Mohammedaji,JD,33178,20864,144734,97887,67.60%
36,Tirurangadi,GEN,V.A. Beeran Sahib,MUL,47223,M. Rahmathulla,CPI,28021,19202,143445,86221,60.10%
37,Tanur,GEN,P. Seethi Haji,MUL,47424,M. Mohamed Master,CPM,21577,25847,146476,79851,54.50%
38,Tirur,GEN,E.T. Mohamed Basheer,MUL,52489,Kuruiyan Syed,ICS(SCS),39984,12505,156692,106662,68.10%
39,Ponnani,GEN,E.K. Imbichibava,CPM,49264,P.T. Mohankrishnan,INC,44180,5084,145767,103128,70.70%
40,Kuttippuram,GEN,P.K. Kunhalikutty,MUL,44865,V.P. Sakkariya,CPM,22539,22326,130642,74330,56.90%
41,Mankada,GEN,K.P.A. Majeed,MUL,48605,K. Ummer Master,CPM,42645,5960,143304,98836,69.00%
42,Perinthalmanna,GEN,Sooppy Nalakath,MUL,49766,M.M. Mustafa,IND,42827,6939,145099,100946,69.60%
43,Thrithala[22],(SC),E. Sankaran,CPM,46187,K.P. Raman Master,MUL,40602,5585,135185,96652,71.50%
44,Pattambi,GEN,K.E. Esmail,CPI,43351,Leela Damodara Memon,INC,39681,3670,137180,91522,66.70%
45,Ottapalam,GEN,V.C. Kabeer Master,ICS(SCS),42771,K. Sankaranarayanan,INC,38501,4270,134029,89850,67.00%
46,Sreekrishnapuram,GEN,P. Balan,INC,51864,E.M. Sreedharan,CPM,50166,1698,151708,108004,71.20%
47,Mannarkkad,GEN,Kalladi Mohammed,MUL,53884,P. Kumaran,CPI,49414,4470,154221,110518,71.70%
48,Malampuzha,GEN,T. Sivadasa Menon,CPM,50361,V. Krishnadas,CPM(K),32370,17991,130422,93241,71.50%
49,Palghat,GEN,C.M. Sundaram,INC,41432,M.S. Gopalakirshnan,CPM,37925,3507,140683,93325,66.30%
50,Chittur,GEN,K. Krishnankutty,JD,47281,K.A. Chandran,INC,44170,3111,132117,97173,73.60%
51,Kollengode,GEN,T. Chathu,CPM,47058,"A, Ramaswamy",INC,45853,1205,136435,98333,72.10%
52,Coyalmannam,(SC),M. Naryannan,CPM,50315,M. Ayyappan Master,INC,42597,7718,136001,97558,71.70%
