S.no,Constituency,Type,Winner,Winner Party,Winner Votes,Runner,Runner Party,Runner Votes,Margin,Total Electors,Total Votes,Poll%
120,Pathanapuram,GEN,K. B. Ganesh Kumar,KC(B),74429,P. V. Jagadish Kumar,INC,49867,24562,189063,141604,74.90%
121,Punalur,GEN,K. Raju,CPI,82136,A. Younus Kunju,IUML,48554,33582,203912,143583,70.40%
122,Chadayamangalam,GEN,Mullakkara Ratnakaran,CPI,71262,M. M. Hassan,INC,49334,21928,195813,144442,73.80%
123,Kundara,GEN,J. Mercy Kutty Amma,CPI(M),79047,Rajmohan Unnithan,INC,48587,30460,198949,151871,76.30%
124,Kollam,GEN,M. Mukesh,CPI(M),63103,Sooraj Ravi,INC,45492,17611,172148,128394,74.60%
125,Eravipuram,GEN,M. Noushad,CPI(M),65392,A. A. Azeez,RSP,36589,28803,169999,124021,73.00%
126,Chathanoor,GEN,G. S. Jayalal,CPI,67606,B. B. Gopakumar,BJP,33199,34407,178941,132595,74.10%
127,Varkala,GEN,V. Joy,CPI(M),53102,Varkala Kahar,INC,50716,2386,178706,127549,71.40%
128,Attingal (SC),SC,B. Satyan,CPI(M),72808,K. Chandrababu,RSP,32425,40383,198146,136870,69.10%
129,Chirayinkeezhu (SC),SC,V. Sasi,CPI,64692,K. S. Ajith Kumar,INC,50370,14322,196776,137288,69.80%
130,Nedumangad,GEN,C. Divakaran,CPI,57745,Palode Ravi,INC,54124,3621,202910,150532,74.20%
131,Vamanapuram,GEN,D. K. Murali,CPI(M),65848,T. Sarathchandra Prasad,INC,56252,9596,196344,140646,71.60%
132,Kazhakootam,GEN,Kadakampally Surendran,CPI(M),50079,V. Muraleedharan,BJP,42732,7347,180984,133137,73.60%
133,Vattiyoorkavu,GEN,K. Muraleedharan,INC,51322,Kummanam Rajasekharan,BJP,43700,7522,194344,136291,70.10%
134,Thiruvananthapuram,GEN,V. S. Sivakumar,INC,46474,Antony Raju,IND,35569,10905,192714,124777,64.70%
135,Nemom,GEN,O. Rajagopal,BJP,67813,V. Sivankutty,CPI(M),59142,8613,191532,141998,74.10%
136,Aruvikkara,GEN,K. S. Sabarinathan,INC,70910,A. A. Rasheed,CPI(M),49596,21314,188347,143125,76.00%
137,Parassala,GEN,C. K. Hareendrakumar,CPI(M),70156,A. T. George,INC,51590,18566,208815,157238,75.30%
138,Kattakada,GEN,I. B. Satheesh,CPI(M),51614,N. Sakthan,INC,50765,849,185955,142902,76.80%
139,Kovalam,GEN,M. Vincent,INC,60268,Jameela Prakasam,JD(S),57653,3415,206613,153121,74.10%
140,Neyyatinkara,GEN,K. Ansalan,CPI(M),63559,R. Selvaraj,INC,54016,9543,177798,133952,75.30%
